"","posicion","capas","arq","R2","t"
"1","50","1","2","0.0261087978502796","31.395"
"2","59","1","2","0.0264388992698428","31.07"
"3","228","1","2","0.0259925500552179","31.473"
"4","290","1","3","0.0105403451862099","31.539"
"5","630","2","9, 1","0.00490651738305936","36.738"
"6","1145","1","1","0.142017094140807","30.872"
"7","1197","1","6","0.00632475188257908","32.519"
"8","1276","1","6","0.0079932364833093","32.418"
"9","1283","1","4","0.00897448452536886","31.722"
"10","1317","1","4","0.00954558418695461","31.67"
"11","1533","1","9","0.00610146087258046","33.735"
"12","1667","1","5","0.0061514561795043","32.629"
"13","1678","1","9","0.00505315467458556","33.993"
"14","2308","1","5","0.00896861044492736","32.341"
"15","3250","1","1","0.144219462690373","30.797"
"16","5860","2","6, 4","0.00282227089975851","36.989"
